Addicting and fun, humorous	 First off: y2b36jpv   that is necessary for getting cookie dragon (5 people need to put in your code). If you have played cookie clicker, you should know what to expect out of this game. But, with multiple dragons comes more humor, but at the price of essentially starting over (each dragon is tracked separately). 	2015-04-19 00:00:00	com.BattleOn.Dragons
Works great, no issues	 Ive had no issues so far, if you enjoy cookie clicker than this is a similar game you can play on the go.                  Please use my friend code: d55c6a46 	2015-12-06 00:00:00	com.BattleOn.Dragons
Similar to Eredan Arena - Not a bad thing	 61D1F4 Referral Code - Help yourself!  (seriously)  Anyway, some of the game graphics feel a little unpolished. Having said that, character drawings are, as always, high quality. Might I recommend incorporating a tournament mode for both this and Eredan? I wouldn't mind entering the occasional special event to win event only prizes.  Download if you enjoy Eredan. Again, 61D1F4 Referral Code. Enjoy! 	2014-02-04 00:00:00	air.com.feerik.gg.battle
44uukd add me	 Good game. Similar to elemental kingdoms. Elemental kingdoms is more advanced but this is a fun game also. A good card battling game and if you add my code youll get a nice card to help boost power 	2014-04-17 00:00:00	air.com.ifree.cardEN
Use the code 44uaja for a free ticket and gems at the end of the tutorial for free rares!	 If you've ever played Tyrant from kongregate (whether the app or back in the day on their site) then you'll recognize this style of gameplay-- actually a lot of ccg types are using it (like Elemental Kingdoms). But what sets LOA apart is the superior community, vivid fantasy/anime style arts, and the frequency of events. I have several games like this, some even clones, but this is the one I keep coming back to. Good luck and happy hunting! 	2014-03-17 00:00:00	air.com.ifree.cardEN
Just like Elemental Kingdoms! Use code 44uy5g!	 Awesome game. I love it so much, definitely check it out. Use my invite code 44uy5g to get a head start! Enjoy and thanks if you use the code! 	2014-03-16 00:00:00	air.com.ifree.cardEN
Best	 I love this game it is just like Candy crush saga I have a trick on the app so install it play till level 7 uninstall and you still get to keep the things you earned so uninstall and reinstall and keep doing the same thing over and over again and I love this game for MovieStarPlanet if you have MovieStarPlanet my user name is : aprilrn29 (USA user) 	2014-02-24 00:00:00	com.moviestarplanet.BoonierescueAndroid
The best ride sharing app	 Sidecar is a uncompareble ride sharing app. Use Promo code MOBA1 to get $15 credit when u signup. You can signup with FB or mobile number which I think awesome feature. You can see your rides fare upfront which is unique in sidecar. .. 	2014-04-08 00:00:00	com.sidecarPassenger
Use My Refferel code - ZD5ENM	 Code - ZD5ENM                                                                                        Verification Code Not Cooming When Entered mobile number....? 	2015-11-13 00:00:00	com.taskbucks.taskbucks
REFER ID CODE JEQRZZK8	 Friends install Taskbucks app and enter your email id and mobile number and next the REFER ID CODE JEQRZZK8 enter and start Taskbucks app or earn money. 	2016-01-14 00:00:00	com.taskbucks.taskbucks
REFER ID CODE JEQRZZK8	 Friends install Taskbucks app and enter your email id and mobile number and next the REFER ID CODE JEQRZZK8 enter and start Taskbucks app or earn money. 	2016-01-28 00:00:00	com.taskbucks.taskbucks
REFER ID CODE JEQRZZK8	 Friends install Taskbucks app and enter your email id and mobile number and next the REFER ID CODE JEQRZZK8 enter and start Taskbucks app or earn money. 	2016-02-03 00:00:00	com.taskbucks.taskbucks
	 Pretty good at getting cash money. Here is my referral code! 6adf31 	2015-09-05 00:00:00	com.coinpouch.coinpouch
Crap	 Download fronto and use morepoints4u referral code. Good luck being qualified for any of these surveys. I tried 5 and finally said screw it. 	2015-05-25 00:00:00	com.usamp.mobile
Like! Also use fronto. Use code below for .50.	 I have used this and fronto. Use my code for $.50. Code is Makemoney04. No need to do anything but swipe your screen! 	2015-07-15 00:00:00	com.appnana.android.giftcardrewards
	 Just downloading for points on Fronto, sorry! Ya'll should get fronto and use promo code: TRH22 	2015-06-18 00:00:00	com.tap4fun.galaxyempire2_android
Free Cash	 Better than Fronto, worse than Slidejoy. Use my code VQfGpdcs6M please! I'll send you mental puppies, rainbows, and hugs if you do! 	2015-08-08 00:00:00	mobi.adme
Working quickly	 I'm a current user of Fronto and Slidejoy and in only several days, this app has earned me more rewards and still works with the other apps. Will continue using and update my review when I can cash out. Try it out for yourself with a bonus ZusGRxJv7r 	2015-11-14 00:00:00	mobi.adme
best stream cast so far	 been using this app for 10 months no problems using it with my ezcast dongle and a samsung tablet.once the stream starts you can turn off tablet to save batt and it keeps cool also. please use my code for a month free 7BXL7WSG(use capitals) 	2015-10-13 00:00:00	mb.videoget
best stream cast so far	 been using this app for 11 months no problems using it with my ezcast dongle and a samsung tablet.all it needs is m3u8 format to be added because it will not play this type of format please dev can you try and resolve is. please use my code for a month free 7BXL7WSG(use capitals) 	2015-10-30 00:00:00	mb.videoget
works for me	 works with my tablet and ezcast dongle. please use my code for a month free 7BXL7WSG(use capitals) 	2016-01-15 00:00:00	mb.videoget
if you have a cast to tv dongle give it ago	 works with my tablet and ezcast dongle. please use my code for a month free 7BXL7WSG(use capitals) 	2016-01-30 00:00:00	mb.videoget
if you have a cast to tv dongle give it ago	 works with my tablet and ezcast dongle. please use my code for a month free 7BXL7WSG(use capitals) 	2016-02-13 00:00:00	mb.videoget
if you have a cast to tv dongle give it ago	 works with my tablet and ezcast dongle. please use my code for a month free 7BXL7WSG(use capitals) 	2016-02-27 00:00:00	mb.videoget
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-01-20 00:00:00	freemobilerecharge.alg
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-01-25 00:00:00	com.zpt.appgift
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-01-22 00:00:00	com.earnworld.quickoffer
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-02-04 00:00:00	freemobilerecharge.alg
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-02-02 00:00:00	com.dropbox.android
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans...Now I can control my laptop from my tablet. 	2016-02-01 00:00:00	kik.android
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-02-02 00:00:00	com.zpt.appgift
	 WOW. Just try ADVERTAPP Using this referal code: (98N8KA) and earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-02-11 00:00:00	freemobilerecharge.alg
	 WOW. Just try ADVERTAPP Using this referal ??d?: (98N8KA) and  earned cash.. you can use the points for any games specially The Clash of Clans... 	2016-02-08 00:00:00	com.kiloo.subwaysurf
